GEOID,NAME,variable,estimate,moe
06087,"Santa Cruz County, California",B25077_001,1015200,15187
06089,"Shasta County, California",B25077_001,347200,6603
06091,"Sierra County, California",B25077_001,334100,50133
06093,"Siskiyou County, California",B25077_001,284500,9492
06095,"Solano County, California",B25077_001,589600,5068
06097,"Sonoma County, California",B25077_001,779000,8876
06099,"Stanislaus County, California",B25077_001,426600,3443
06101,"Sutter County, California",B25077_001,399400,10475
06103,"Tehama County, California",B25077_001,315600,12573
06105,"Trinity County, California",B25077_001,329000,23405
06107,"Tulare County, California",B25077_001,303000,6300
06109,"Tuolumne County, California",B25077_001,406200,15616
06111,"Ventura County, California",B25077_001,768400,6230
06113,"Yolo County, California",B25077_001,593800,11285
06115,"Yuba County, California",B25077_001,380000,12488
08001,"Adams County, Colorado",B25077_001,458400,3021
08003,"Alamosa County, Colorado",B25077_001,218800,21223
08005,"Arapahoe County, Colorado",B25077_001,526000,5958
08007,"Archuleta County, Colorado",B25077_001,451400,16410
08009,"Baca County, Colorado",B25077_001,122000,22458
08011,"Bent County, Colorado",B25077_001,137900,26527
08013,"Boulder County, Colorado",B25077_001,713900,8867
08014,"Broomfield County, Colorado",B25077_001,631600,8349
08015,"Chaffee County, Colorado",B25077_001,598500,27561
08017,"Cheyenne County, Colorado",B25077_001,187100,31159
08019,"Clear Creek County, Colorado",B25077_001,572800,48243
08021,"Conejos County, Colorado",B25077_001,162100,12749
08023,"Costilla County, Colorado",B25077_001,171300,23120
08025,"Crowley County, Colorado",B25077_001,106700,12274
08027,"Custer County, Colorado",B25077_001,358800,36695
08029,"Delta County, Colorado",B25077_001,318000,14928
08031,"Denver County, Colorado",B25077_001,586700,6888
08033,"Dolores County, Colorado",B25077_001,231900,17595
08035,"Douglas County, Colorado",B25077_001,674000,3814
08037,"Eagle County, Colorado",B25077_001,814700,74122
08039,"Elbert County, Colorado",B25077_001,664600,17882
08041,"El Paso County, Colorado",B25077_001,431000,3457
08043,"Fremont County, Colorado",B25077_001,282100,9947
08045,"Garfield County, Colorado",B25077_001,490600,19180
08047,"Gilpin County, Colorado",B25077_001,512600,59235
08049,"Grand County, Colorado",B25077_001,507200,50846
08051,"Gunnison County, Colorado",B25077_001,597200,47875
08053,"Hinsdale County, Colorado",B25077_001,438800,48548
08055,"Huerfano County, Colorado",B25077_001,256700,37763
08057,"Jackson County, Colorado",B25077_001,250000,104968
08059,"Jefferson County, Colorado",B25077_001,604400,3974
08061,"Kiowa County, Colorado",B25077_001,148600,30604
08063,"Kit Carson County, Colorado",B25077_001,221400,23435
08065,"Lake County, Colorado",B25077_001,401300,67434
08067,"La Plata County, Colorado",B25077_001,549100,17287
08069,"Larimer County, Colorado",B25077_001,532200,7010
08071,"Las Animas County, Colorado",B25077_001,214500,18666
08073,"Lincoln County, Colorado",B25077_001,232100,19228
08075,"Logan County, Colorado",B25077_001,228100,12515
08077,"Mesa County, Colorado",B25077_001,349400,6475
08079,"Mineral County, Colorado",B25077_001,413000,54241
08081,"Moffat County, Colorado",B25077_001,262500,14706
08083,"Montezuma County, Colorado",B25077_001,308100,23739
08085,"Montrose County, Colorado",B25077_001,357900,12598
08087,"Morgan County, Colorado",B25077_001,299300,14901
08089,"Otero County, Colorado",B25077_001,160700,11830
08091,"Ouray County, Colorado",B25077_001,670100,34129
08093,"Park County, Colorado",B25077_001,489300,14550
08095,"Phillips County, Colorado",B25077_001,255300,24568
08097,"Pitkin County, Colorado",B25077_001,1131200,155318
08099,"Prowers County, Colorado",B25077_001,150900,19397
08101,"Pueblo County, Colorado",B25077_001,271800,5598
08103,"Rio Blanco County, Colorado",B25077_001,243400,20675
08105,"Rio Grande County, Colorado",B25077_001,215400,14180
08107,"Routt County, Colorado",B25077_001,756200,58926
08109,"Saguache County, Colorado",B25077_001,200000,30566
08111,"San Juan County, Colorado",B25077_001,406900,93791
08113,"San Miguel County, Colorado",B25077_001,613100,165694
08115,"Sedgwick County, Colorado",B25077_001,142700,11797
08117,"Summit County, Colorado",B25077_001,850700,85083
08119,"Teller County, Colorado",B25077_001,445000,15774
08121,"Washington County, Colorado",B25077_001,218300,14409
08123,"Weld County, Colorado",B25077_001,444500,4176
08125,"Yuma County, Colorado",B25077_001,215600,20584
09110,"Capitol Planning Region, Connecticut",B25077_001,298200,2390
09120,"Greater Bridgeport Planning Region, Connecticut",B25077_001,397000,5870
09130,"Lower Connecticut River Valley Planning Region, Connecticut",B25077_001,359000,5040
09140,"Naugatuck Valley Planning Region, Connecticut",B25077_001,290800,3734
09150,"Northeastern Connecticut Planning Region, Connecticut",B25077_001,281300,5750
09160,"Northwest Hills Planning Region, Connecticut",B25077_001,311700,8796
09170,"South Central Connecticut Planning Region, Connecticut",B25077_001,328300,4087
09180,"Southeastern Connecticut Planning Region, Connecticut",B25077_001,293900,4051
09190,"Western Connecticut Planning Region, Connecticut",B25077_001,625400,8022
10001,"Kent County, Delaware",B25077_001,290600,5081
10003,"New Castle County, Delaware",B25077_001,329800,3543
